Entity,Code,Day,facial_coverings,,
Afghanistan,AFG,11/4/21,2,,
Afghanistan,AFG,12/4/21,2,,
Afghanistan,AFG,13/4/21,2,,
Afghanistan,AFG,14/4/21,2,,
Afghanistan,AFG,15/4/21,2,,
Afghanistan,AFG,16/4/21,2,,
Afghanistan,AFG,17/4/21,2,,
Afghanistan,AFG,18/4/21,2,,
Afghanistan,AFG,19/4/21,2,,
Afghanistan,AFG,20/4/21,2,,
Afghanistan,AFG,21/4/21,2,,
Afghanistan,AFG,22/4/21,2,,
Afghanistan,AFG,23/4/21,2,,
Afghanistan,AFG,24/4/21,2,,
Afghanistan,AFG,25/4/21,2,,
Afghanistan,AFG,26/4/21,2,,
Afghanistan,AFG,27/4/21,2,,
Afghanistan,AFG,28/4/21,2,,
Afghanistan,AFG,29/4/21,2,,
Afghanistan,AFG,30/4/21,2,,
Afghanistan,AFG,1/5/21,2,,
Afghanistan,AFG,2/5/21,2,,
Afghanistan,AFG,3/5/21,2,,
Afghanistan,AFG,4/5/21,3,,
Afghanistan,AFG,5/5/21,3,,
Afghanistan,AFG,6/5/21,3,,
Afghanistan,AFG,7/5/21,3,,
Afghanistan,AFG,8/5/21,3,,
Afghanistan,AFG,9/5/21,3,,
Afghanistan,AFG,10/5/21,3,,
Afghanistan,AFG,11/5/21,3,,
Afghanistan,AFG,12/5/21,3,,
Afghanistan,AFG,13/5/21,3,,
Afghanistan,AFG,14/5/21,3,,
Afghanistan,AFG,15/5/21,3,,
Afghanistan,AFG,16/5/21,3,,
Afghanistan,AFG,17/5/21,3,,
Afghanistan,AFG,18/5/21,3,,
Afghanistan,AFG,19/5/21,3,,
Afghanistan,AFG,20/5/21,3,,
Afghanistan,AFG,21/5/21,3,,
Afghanistan,AFG,22/5/21,3,,
Afghanistan,AFG,23/5/21,3,,
Afghanistan,AFG,24/5/21,3,,
Afghanistan,AFG,25/5/21,3,,
Afghanistan,AFG,26/5/21,3,,
Afghanistan,AFG,27/5/21,3,,
Afghanistan,AFG,28/5/21,3,,
Afghanistan,AFG,29/5/21,3,,
Afghanistan,AFG,30/5/21,3,,
Afghanistan,AFG,31/5/21,3,,
Afghanistan,AFG,1/6/21,3,,
Afghanistan,AFG,2/6/21,3,,
Afghanistan,AFG,3/6/21,3,,
Afghanistan,AFG,4/6/21,3,,
Afghanistan,AFG,5/6/21,3,,
Afghanistan,AFG,6/6/21,3,,
Afghanistan,AFG,7/6/21,3,,
Afghanistan,AFG,8/6/21,3,,
Afghanistan,AFG,9/6/21,3,,
Afghanistan,AFG,10/6/21,3,,
Afghanistan,AFG,11/6/21,3,,
Afghanistan,AFG,12/6/21,3,,
Afghanistan,AFG,13/6/21,3,,
Albania,ALB,1/1/20,0,,
Albania,ALB,2/1/20,0,,
Albania,ALB,3/1/20,0,,
Albania,ALB,4/1/20,0,,
Albania,ALB,5/1/20,0,,
Albania,ALB,6/1/20,0,,
Albania,ALB,7/1/20,0,,
Albania,ALB,8/1/20,0,,
Albania,ALB,9/1/20,0,,
Albania,ALB,10/1/20,0,,
Albania,ALB,11/1/20,0,,
Albania,ALB,12/1/20,0,,
Albania,ALB,13/1/20,0,,
Albania,ALB,14/1/20,0,,
Albania,ALB,15/1/20,0,,
Albania,ALB,16/1/20,0,,
Albania,ALB,17/1/20,0,,
Albania,ALB,18/1/20,0,,
Albania,ALB,19/1/20,0,,
Albania,ALB,20/1/20,0,,
Albania,ALB,21/1/20,0,,
Albania,ALB,22/1/20,0,,
Albania,ALB,23/1/20,0,,
Albania,ALB,24/1/20,0,,
Albania,ALB,25/1/20,0,,
Albania,ALB,26/1/20,0,,
Albania,ALB,27/1/20,0,,
Albania,ALB,28/1/20,0,,
Albania,ALB,29/1/20,0,,
Albania,ALB,30/1/20,0,,
Albania,ALB,31/1/20,0,,
Albania,ALB,1/2/20,0,,
Albania,ALB,2/2/20,0,,
Albania,ALB,3/2/20,0,,
Albania,ALB,4/2/20,0,,
Albania,ALB,5/2/20,0,,
Albania,ALB,6/2/20,0,,
Albania,ALB,7/2/20,0,,
Albania,ALB,8/2/20,0,,
Albania,ALB,9/2/20,0,,
Albania,ALB,10/2/20,0,,
Albania,ALB,11/2/20,0,,
Albania,ALB,12/2/20,0,,
Albania,ALB,13/2/20,0,,
Albania,ALB,14/2/20,0,,
Albania,ALB,15/2/20,0,,
Albania,ALB,16/2/20,0,,
Albania,ALB,17/2/20,0,,
Albania,ALB,18/2/20,0,,
Albania,ALB,19/2/20,0,,
Albania,ALB,20/2/20,0,,
Albania,ALB,21/2/20,0,,
Albania,ALB,22/2/20,0,,
Albania,ALB,23/2/20,0,,
Albania,ALB,24/2/20,0,,
Albania,ALB,25/2/20,1,,
Albania,ALB,26/2/20,1,,
Albania,ALB,27/2/20,1,,
Albania,ALB,28/2/20,1,,
Albania,ALB,29/2/20,1,,
Albania,ALB,1/3/20,1,,
Albania,ALB,2/3/20,1,,
Albania,ALB,3/3/20,1,,
Albania,ALB,4/3/20,1,,
Albania,ALB,5/3/20,1,,
Albania,ALB,6/3/20,1,,
Albania,ALB,7/3/20,1,,
Albania,ALB,8/3/20,1,,
Albania,ALB,9/3/20,1,,
Albania,ALB,10/3/20,1,,
Albania,ALB,11/3/20,1,,
Albania,ALB,12/3/20,1,,
Albania,ALB,13/3/20,1,,
Albania,ALB,14/3/20,1,,
Albania,ALB,15/3/20,1,,
Albania,ALB,16/3/20,1,,
Albania,ALB,17/3/20,1,,
Albania,ALB,18/3/20,1,,
Albania,ALB,19/3/20,1,,
Albania,ALB,20/3/20,1,,
Albania,ALB,21/3/20,1,,
Albania,ALB,22/3/20,1,,
Albania,ALB,23/3/20,1,,
Albania,ALB,24/3/20,1,,
Albania,ALB,25/3/20,1,,
Albania,ALB,26/3/20,1,,
Albania,ALB,27/3/20,1,,
Albania,ALB,28/3/20,1,,
Albania,ALB,29/3/20,1,,
Albania,ALB,30/3/20,1,,
Albania,ALB,31/3/20,1,,
Albania,ALB,1/4/20,1,,
Albania,ALB,2/4/20,1,,
Albania,ALB,3/4/20,1,,
Albania,ALB,4/4/20,1,,
Albania,ALB,5/4/20,1,,
Albania,ALB,6/4/20,1,,
Albania,ALB,7/4/20,1,,
Albania,ALB,8/4/20,1,,
Albania,ALB,9/4/20,1,,
Albania,ALB,10/4/20,1,,
Albania,ALB,11/4/20,1,,
Albania,ALB,12/4/20,1,,
Albania,ALB,13/4/20,1,,
Albania,ALB,14/4/20,1,,
Albania,ALB,15/4/20,1,,
Albania,ALB,16/4/20,1,,
Albania,ALB,17/4/20,1,,
Albania,ALB,18/4/20,1,,
Albania,ALB,19/4/20,1,,
Albania,ALB,20/4/20,1,,
Albania,ALB,21/4/20,1,,
Albania,ALB,22/4/20,1,,
Albania,ALB,23/4/20,1,,
